"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","731","Create a new booking Post Request using JSON file","chromium","2026-04-17","passed","2026-04-17","","apitests\post_request_03_createBooking.spec.ts","",""
"","2296","Login [petya@mail.com / error]","chromium","2026-04-21","passed","2026-04-21","","loginJSON.spec.ts","",""
"","2571","Login fails with invalid password @regression","chromium","2026-04-21","passed","2026-04-21","Login Tests","login.spec.ts","",""
"","947","Login with JSON data [empty / error]","chromium","2026-04-14","passed","2026-04-14","","loginJSON.spec.ts","",""
"","1","User sees message when searching for non-existing product","chromium","2026-04-21","skipped","2026-04-21","Home Page Tests","home-page.spec.ts","",""
"","9293","Home page loads successfully @smoke","chromium","2026-04-21","passed","2026-04-21","Home Page Tests","home-page.spec.ts","",""
"","20488","User can navigate to Register page @regression","chromium","2026-04-21","passed","2026-04-21","Home Page Tests","home-page.spec.ts","",""
"","1163","User cannot register with an already existing email @regression","chromium","2026-04-14","passed","2026-04-14","Registration Page Tests","accountRegistration.spec.ts","",""
"","1217","4.User cannot register with invalid email format @regression","chromium","2026-04-14","passed","2026-04-14","Registration Page Tests","accountRegistration.spec.ts","",""
"","3978","User can navigate to Login page","chromium","2026-04-21","failed","2026-04-21","Home Page Tests","home-page.spec.ts","",""
"","1469","3.User cannot register with an already existing email @regression","chromium","2026-04-14","passed","2026-04-14","Registration Page Tests","accountRegistration.spec.ts","",""
"","2329","Login fails with invalid email @regression","chromium","2026-04-21","passed","2026-04-21","Login Tests","login.spec.ts","",""
"","1128","User cannot register with invalid email format @regression","chromium","2026-04-14","failed","2026-04-14","Registration Page Tests","accountRegistration.spec.ts","",""
"","906","User can navigate to Registration page @smoke","chromium","2026-04-14","passed","2026-04-14","Registration Page Tests","accountRegistration.spec.ts","",""
"","1153","Login with JSON data [petya@mail.com / success]","chromium","2026-04-14","passed","2026-04-14","","loginJSON.spec.ts","",""
"","0","User can search for an existing product @smoke @regression","chromium","2026-04-21","skipped","2026-04-21","Home Page Tests","home-page.spec.ts","",""
"","2242","Login [petya@mail.com / success]","chromium","2026-04-21","passed","2026-04-21","","loginCSV.spec.ts","",""
"","2726","Login test with wrong@mail.com","chromium","2026-04-21","passed","2026-04-21","","loginDDT.spec.ts","",""
"","2523","Login test with petya@mail.com","chromium","2026-04-21","passed","2026-04-21","","loginDDT.spec.ts","",""
"","1398","User can successfully register with valid data @regression","chromium","2026-04-14","passed","2026-04-14","Registration Page Tests","accountRegistration.spec.ts","",""
"","978","Login with JSON data [wrong@test.com / error]","chromium","2026-04-14","passed","2026-04-14","","loginJSON.spec.ts","",""
"","2527","Successful login with valid credentials @smoke","chromium","2026-04-21","passed","2026-04-21","Login Tests","login.spec.ts","",""
"","1709","2.User can successfully register with valid data @regression","chromium","2026-04-14","passed","2026-04-14","Registration Page Tests","accountRegistration.spec.ts","",""
"","2000","Login [petya@mail.com / success]","chromium","2026-04-21","passed","2026-04-21","","loginJSON.spec.ts","",""
"","1542","Login [empty / error]","chromium","2026-04-21","passed","2026-04-21","","loginCSV.spec.ts","",""
"","1278","Create a new booking Post Request","chromium","2026-04-17","passed","2026-04-17","","apitests\post_request_01_createBooking.spec.ts","",""
"","2073","Login [empty / error]","chromium","2026-04-21","passed","2026-04-21","","loginJSON.spec.ts","",""
"","1033","Login with JSON data [petya@mail.com / error]","chromium","2026-04-14","passed","2026-04-14","","loginJSON.spec.ts","",""
"","788","Create a new booking Post Request using JSON file","chromium","2026-04-17","passed","2026-04-17","","apitests\post_request_02_createBooking.spec.ts","",""
"","1717","Login fails with empty fields @regression","chromium","2026-04-21","passed","2026-04-21","Login Tests","login.spec.ts","",""
"","31905","5.User cannot register with empty first name @regression","chromium","2026-04-14","passed","2026-04-14","Registration Page Tests","accountRegistration.spec.ts","",""
"","1826","Login [petya@mail.com / error]","chromium","2026-04-21","passed","2026-04-21","","loginCSV.spec.ts","",""
"","2404","Forgotten Password link navigates correctly","chromium","2026-04-21","passed","2026-04-21","Login Tests","login.spec.ts","",""
"","1834","Login [wrong@test.com / error]","chromium","2026-04-21","passed","2026-04-21","","loginCSV.spec.ts","",""
"","1677","Login test with user1@test.com","chromium","2026-04-21","passed","2026-04-21","","loginDDT.spec.ts","",""
"","936","1.User can navigate to Registration page @smoke","chromium","2026-04-14","passed","2026-04-14","Registration Page Tests","accountRegistration.spec.ts","",""
"","3587","Login [wrong@test.com / error]","chromium","2026-04-21","passed","2026-04-21","","loginJSON.spec.ts","",""
